item_code,item_name,decision,correct_product_name,correct_product_name_ar
90760,NO-URIC 300 MG 20 TAB,auto_matched,NO URIC 300 MG 20 TAB,نو يوريك 300 مجم 20 اقراص
30266,NO-URIC 300MG 20 TAB,auto_matched,NO URIC 300 MG 20 TAB,نو يوريك 300 مجم 20 اقراص
74118,NOFLU 20 TABS.,auto_matched,NOFLU 20 TAB.,نوفلو 20 اقراص
73603,NONOO WATER SYRUP 120 ML,auto_matched,NONO WATER SYRUP 120 ML,ماء نونو شراب 120 مل
2575,NORFLEX 3 AMP,approved_match,NORFLEX 30 MG / ML 3 AMPS.,نورفلكس 30 مجم / مل 3 امبول
91763,NORIGYNCIN 50/5MG I.M. AMP,auto_matched,NORIGYNCIN 50 / 5 MG I.M. AMP,نوريجينسين امبول
90239,NORVASC VAL 10/160MG,auto_matched,NORVASC VAL 10 / 160 MG 30 TABS,نورفاسك فال 10 / 160 مجم 30 اقراص
77236,NOVALGIN OBLONG 500MG 10TABS,auto_matched,NOVALGIN OBLONG 500 MG 10 F.C TAB.,ابلونج نوفالجين 500 مجم 10 اقراص
73951,NOVOMIX 30 FLEXPEN,approved_match,NOVOMIX 30 100 I.U. / ML 5 FLEXPEN,نوفوميكس 30 100 وحده / مل 5 فليكس بين
73505,NOVORAPID FLEXPEN,approved_match,NOVORAPID 100 I.U. / ML 5 FLEXPEN,نوفورابيد 100 وحده / مل 5 فليكس بين
91673,NUTRIVILLE B COMPLEX 30 TABLETS,auto_matched,NUTRIVILLE B COMPLEX 30 TAB,نيوتريفيل ب كومبلكس 30 كبسول
74881,OCTOZINC CAP,approved_match,OCTOZINC 25 MG 20 CAPS.,
76464,OLANZAPINE-COPAD 7.5 MG 14 F.C. TAB.,auto_matched,OLANZAPINE COPAD 7.5 MG 14 F.C. TAB.,اولانزابين كوباد 7.5 مجم 14 اقراص
73619,OLAPEX 5MG 30 TAB,auto_matched,OLAPEX 5 MG 30 F.C.TABS.,اولابيكس 5 مجم 30 اقراص
73291,OLFEN GEL 50 GM,auto_matched,OLFEN 1 % TOPICAL GEL 50 GM,اولفين جل 50 جم
91951,OLOHISTINE FORTE,auto_matched,OLOHISTINE FORTE EYE DROPS 5 ML,اولوهيستين فورت قطره للعين 5 مل
92579,OLOPTASONE NASAL SPRAY 120 METERED SPRAYS,auto_matched,OLOPTASONE 120 DOSE NASAL SPRAY,اولوبتاسون بخاخ 120 جرعه
90186,OMEGA 3 SERIO 30 CAPS,auto_matched,OMEGA 3 SERIO 30 CAPS,اوميجا د 3 30 كبسوله 135
56223,OMEGA 300 MG 20 CAP,auto_matched,OMEGA 300 20 CAPSULES,اوميجا 300 20 كبسول
87986,OMEGA RX 60 PIECES + OMEGA 30 PIECES OFFER,auto_matched,OMEGA RX JELLY CANDY 60 PCS. + 30 PCS,اوميجا ار اكس جلي كاندي 60 قطعه + 30 قطعه
78393,OMEGA RX 60-PCS,auto_matched,OMEGA RX 60 GUM + VALUDAL 60 GUM,اوميجا ار اكس جلي كاندي 60 قطعه + فليودال 60 قطعه
87482,OMEGAL MAN 30CAP,auto_matched,OMEGAL MAN 30 CAP,اوميجال مان 30 كبسول
92706,OMEGALOSIT 30 CAP,auto_matched,OMEGALOSIT 30 CAPS,اوميجالوست 30 اقراص
