product_name_ar,product_name_en,store_product_id,product_id,sale_price
╪º╪¿┘è┘â┘ê╪¬┘è┘ä 20 ┘à╪¼┘à 5 ┘ä╪¿┘ê╪│ ┘ä┘ä┘â╪¿╪º╪▒,EPICOTIL 20 MG 5 ADULT SUPP.,2143859.0,5229.0,17.5
╪º╪¿┘è┘â┘ê╪¼┘è┘ä ╪┤╪▒╪º╪¿ 180 ┘à┘ä,EPICOGEL SUSP. 180 ML,901680.0,5221.0,48.0
╪º╪¿┘è┘â┘ê╪│┘è┘ä┘ä┘è┘å 500 ┘à╪¼┘à 16 ┘â╪¿╪│┘ê┘ä,EPICOCILLIN 500 MG 16 CAPS.,2434951.0,5218.0,40.0
╪º╪¿┘è┘â┘ê┘ü┘ä┘ê╪│┘è┘å 200 ┘à╪¼┘à 10 ╪º┘é╪▒╪º╪╡,EPICOFLOCIN 200 MG 10 F.C.TAB.,1765828.0,5220.0,18.0
╪º╪¿┘è┘â┘ê┘ü┘è┘ä┘ä┘è┘å 2.5 ╪¼┘à / 100 ┘à┘ä ╪┤╪▒╪º╪¿ 125 ┘à┘ä,EPICOPHYLLINE 2.5 G / 100 ML SYRUP 125 ML,2427968.0,5224.0,22.0
╪º╪¿┘è┘ä╪º╪¬ 10 ┘à╪¼┘à 30 ┘â╪¿╪│┘ê┘ä,EPILAT 10 MG 30 S.G.CAPS.,2434953.0,5260.0,18.0
╪º╪¿┘è┘ä┘è╪¿┘â╪│ 10 ┘à╪¼┘à 30 ╪º┘é╪▒╪º╪╡,APILIPEX 10 MG 30 F.C.TAB.,2411185.0,1088.0,90.0
╪º╪¿┘è┘ä┘è┘ü╪º┘è 10 ┘à╪¼┘à 10 ╪º┘é╪▒╪º╪╡,ABILIFY 10 MG 10 TABS.,2490241.0,29.0,220.5
╪º╪¿┘è┘ä┘è┘ü╪º┘è 15 ┘à╪¼┘à 10 ╪º┘é╪▒╪º╪╡,ABILIFY 15 MG 10 TABS.,943058.0,31.0,330.5
╪º╪¿┘è┘ä┘è┘ü╪º┘è 5 ┘à╪¼┘à 10 ╪º┘é╪▒╪º╪╡,ABILIFY 5 MG 10 TABS,2254422.0,32.0,134.5
╪º╪¿┘è┘à╪º╪¼ 12 ╪º┘â┘è╪º╪│ ┘ü┘ê╪º╪▒,EPIMAG 12 EFF. GR. IN SACHETS,1260293.0,5263.0,26.0
╪º╪¿┘è┘à┘è╪▒╪º┘ü┘ä┘ê 75 ┘à╪¼┘à 10 ┘â╪¿╪│┘ê┘ä,EPIMIRAFLU 75 MG 10 CAPS.,2589105.0,5270.0,202.0
╪º╪¿┘è┘å┘ê╪▒ 400 ┘à╪¼┘à 14 ╪º┘é╪▒╪º╪╡,EPINOR 400 MG 14 TAB.,2129543.0,5274.0,35.0
